100.0, 7.5808869964539025e-6
109.0, 8.280816434584129e-6
118.0, 8.959657429586021e-6
127.0, 9.634395386043252e-6
136.0, 1.0305038200989864e-5
145.0, 1.0963345180362654e-5
154.0, 1.1613548810145423e-5
163.0, 1.2247467104272628e-5
172.0, 1.2871236347342299e-5
181.0, 1.349053613905547e-5
190.0, 1.4094410589890882e-5
199.0, 1.4694105881086004e-5
208.0, 1.5271880394705147e-5
217.0, 1.584601339844861e-5
226.0, 1.6415043508528148e-5
235.0, 1.696005719739063e-5
244.0, 1.7504225152207324e-5
253.0, 1.8040796835931938e-5
262.0, 1.8568109151578773e-5
271.0, 1.9091425515778175e-5
280.0, 1.9607006067985016e-5
289.0, 2.0106084388912152e-5
298.0, 2.0600960036371895e-5
307.0, 2.1096725542549677e-5
316.0, 2.1583986439984177e-5
325.0, 2.205906086008038e-5
334.0, 2.252444068548609e-5
343.0, 2.2986899262959392e-5
352.0, 2.3448158956200707e-5
361.0, 2.3896858434380525e-5
370.0, 2.4347519638367504e-5
379.0, 2.4787062486412195e-5
388.0, 2.5222664492942343e-5
397.0, 2.5659633616184717e-5
406.0, 2.609131163063194e-5
415.0, 2.6514763278299042e-5
424.0, 2.6934173709108434e-5
433.0, 2.7349731045273116e-5
442.0, 2.7761902387988207e-5
451.0, 2.8173050837297865e-5
460.0, 2.8575592718214262e-5
469.0, 2.8974602359406404e-5
478.0, 2.937063720321988e-5
487.0, 2.9763892249631014e-5
496.0, 3.0155506013432793e-5
505.0, 3.054102070474738e-5
514.0, 3.092432526996232e-5
523.0, 3.130512537335377e-5
532.0, 3.168257153106146e-5
541.0, 3.2057889325284315e-5
550.0, 3.2431181093681976e-5
559.0, 3.280102480767418e-5
568.0, 3.316314583109121e-5
577.0, 3.351394737730902e-5
586.0, 3.386457520755017e-5
595.0, 3.421507481279582e-5
604.0, 3.4565490396049315e-5
613.0, 3.491586494751502e-5
622.0, 3.5266240314885834e-5
631.0, 3.5616657269132484e-5
640.0, 3.596715556615128e-5
649.0, 3.6317774004594356e-5
658.0, 3.666855048017715e-5
667.0, 3.701952203673182e-5
676.0, 3.737072491425154e-5
685.0, 3.770391484871551e-5
694.0, 3.803170516350874e-5
703.0, 3.835928919559577e-5
712.0, 3.86866962499506e-5
721.0, 3.901395491258297e-5
730.0, 3.934109308514349e-5
739.0, 3.966813801762883e-5
748.0, 3.9995116339315086e-5
757.0, 4.032205408803813e-5
766.0, 4.064897673792963e-5
775.0, 4.097590922570983e-5
784.0, 4.130287597563037e-5
793.0, 4.1625931235723274e-5
802.0, 4.1934964665686926e-5
811.0, 4.224375839990439e-5
820.0, 4.2552333079138986e-5
829.0, 4.286070888701857e-5
838.0, 4.316890556886703e-5
847.0, 4.3476942449631074e-5
856.0, 4.378483845095557e-5
865.0, 4.4092612107457024e-5
874.0, 4.440028158224188e-5
883.0, 4.4707864681712066e-5
892.0, 4.5015378869698786e-5
901.0, 4.532284128096186e-5
910.0, 4.562174714505832e-5
919.0, 4.5916198357227276e-5
928.0, 4.621043601768167e-5
937.0, 4.6504475108321345e-5
946.0, 4.6798330317761175e-5
955.0, 4.709201605187908e-5
964.0, 4.7385546443919025e-5
973.0, 4.7678935364171676e-5
982.0, 4.79721964292545e-5
991.0, 4.8265343011011745e-5
1000.0, 4.855838824505332e-5
